numero,nombre,fechaCaducidad,codigoAutorizacion
1582 1422 7267 2433,Francisco Pomares Mas,02/33,361
7967 1122 7987 3594,Eva Vallejo Narvaez,09/28,163
4945 1552 7177 9228,Blas Sparrow Pomares,04/28,733
1082 7717 6126 4765,Sofia Cozar Sparrow,07/32,512
5185 6036 7567 2083,Jack Avila Morales,04/33,383
1712 0852 5015 0702,Emiliano Sparrow Lopez,05/26,785
3924 1172 4535 9358,Benjamin Narvaez Coll,02/27,836
7027 6846 5666 1872,Pedro Torres Vallejo,12/28,834
9348 1142 9238 6376,Margarita Lopez Ribera,04/29,804
1112 4304 1262 9098,Pedro Garau Pelaez,07/26,814
0261 8528 1933 4475,Hugo Torres Marques,10/26,472
2213 4945 9368 9288,Irene Poza Moss,07/31,544
2653 7557 5646 3724,Irene Linus Linus,06/26,104
1572 2903 6786 0932,Gabriel Coll Mojamuto,07/34,859
7637 2733 3684 4084,Irene Linus Dominguez,04/29,831
6556 8918 7707 4465,Gonzalo Pelaez Lobo,01/30,584
3854 7537 7517 0521,Jack Locke Linus,11/27,089
1742 2313 3564 6746,Irene Marques Vallejo,08/31,233
7107 0862 2063 3234,Hugo Martinez Ribera,01/30,293
2603 0511 4925 7257,Gabriel Lopez Pelaez,11/29,529
1652 3354 1652 5946,Alberto Moreno San,09/32,680
5495 3344 3944 9469,Margarita Coll Gibson,01/30,247
3394 3624 9328 0371,Jack Gibson Avila,06/31,404
0912 5145 6226 9719,Hugo Ribas Poza,05/28,882
4114 4625 1572 6616,Irene Avila Padro,02/31,360
0982 9409 5465 0581,Armando Dans Ribera,03/26,508
5155 4735 1762 8358,John Cozar Sparrow,07/27,744
1272 8988 1862 0511,Irene Ribas Martinez,03/29,165
7697 2013 0411 3624,Armando Locke Pomares,03/34,061
5225 8608 9318 7837,Emiliano Martinez Avila,03/29,110
9419 1292 5145 0561,Luis Narvaez Moreno,05/33,751
9949 4294 3934 4344,Francisco Gonzalez Poza,09/29,255
2393 7357 1502 8898,Camilo Dominguez Locke,03/30,482
6846 2393 1172 4585,Restituta Cozar Lopez,03/34,288
3874 9509 8478 0321,Petra Mas San,03/29,030
1913 0071 8348 8888,Randall Vallejo Garau,02/34,674
4094 2463 4645 5726,Eva Coll Mojamuto,03/34,515
0842 0231 9669 7547,Clodoveo San Gracia,12/34,120
2123 0662 5325 8007,Emiliano Locke Linus,08/33,889
1562 1062 2953 6006,Benjamin Pelaez Pomares,08/34,277
3103 1452 3154 7347,Kate Sparrow Poza,12/28,778
2073 5766 8938 0541,Sofia Poza Narvaez,04/34,530
5656 2333 5245 0231,Kate Coll Morales,06/26,476
3824 0101 9298 5806,Benjamin Torres Narvaez,05/28,036
2153 0932 8438 2013,Randall Narvaez Reyes,06/29,067
9869 9158 7717 7827,Luisa Mas Marques,03/31,094
2583 2593 6556 0381,Pedro Pelaez Moreno,07/34,020
6506 3154 9979 0041,Petra Narvaez Lopez,12/32,189
0862 1792 0842 6586,Enjuto Argudo Vallejo,09/27,085
9649 0561 9288 7697,Alberto Punset Morales,05/29,578
9248 5225 6116 6426,Luis Avila Ribera,12/34,706
6266 1862 4595 4495,Alfredo Dans Martinez,09/34,051
3023 7077 4445 8398,Luisa Mojamuto Moreno,03/29,468
6396 3394 3534 1512,Pedro Torres Moss,11/31,863
8688 6086 4725 7267,Irene Mas Mojamuto,09/34,262
5335 6836 9779 1893,Armando Torres Gonzalez,06/33,779
3113 2073 3234 1862,Francisco Cozar Poza,05/31,784
0031 3534 3544 6066,Luisa San Poza,05/34,297
6076 7197 6947 6576,Jack Pelaez Dominguez,06/34,338
0571 4425 0772 6506,Luis Gracia Coll,08/31,850
3073 6276 9519 3854,Irene Punset Dominguez,05/33,206
5595 3874 7417 8648,Jack Pelaez Morales,03/30,608
8278 9028 4034 9439,Alberto Morales Punset,09/29,742
3414 0281 5345 3354,Alberto Gonzalez Narvaez,01/29,291
9559 9419 8808 8488,Hugo Gonzalez Gibson,10/30,829
6236 2293 0321 9088,Enjuto Poza Moss,02/28,518
6957 9358 3404 5706,Petra Sparrow Dominguez,10/30,785
2023 5686 7887 2823,Jack Martinez Mojamuto,07/29,647
1212 0171 7767 3394,Blas Garau Lobo,10/28,058
0431 7207 1782 3314,Pedro Avila Moss,09/26,025
6286 6126 1602 5976,Blas Gracia Avila,04/29,021
2663 4084 3434 5646,Alberto Lopez Linus,11/28,865
8818 1612 9188 9429,Irene Moreno Argudo,07/30,089
8718 9809 6056 6306,Gonzalo Ribas Padro,07/26,263
0992 8508 2983 5966,John Pelaez Moreno,11/29,967
3123 2603 6927 5195,Jack Ribera Cozar,10/31,480
1332 1903 6106 6556,Irene Garau Mas,04/31,007
2313 4334 4044 5856,John Gracia Poza,04/30,590
3093 0041 4895 0071,Luisa Reyes San,06/30,366
3594 9599 3003 9799,Camilo Dominguez San,01/28,925
0101 3444 0712 0021,Benjamin Pomares Garau,04/29,333
4755 0732 0421 9989,Petra Punset Punset,11/32,686
6026 6636 2483 5956,Kate Reyes Punset,08/26,552
5045 4705 9338 7067,Alfredo Cozar Marques,03/30,344
6056 4605 2143 2463,Irene Avila Dans,01/26,877
6476 6176 5225 1392,Pedro Reyes Lopez,04/27,498
2553 3734 7147 1802,Sofia Pelaez Pelaez,03/30,268
2643 9078 6756 5235,Gonzalo Punset San,07/32,846
0531 6686 0221 1332,Petra Coll San,12/30,549
1452 9368 9709 5105,Hugo Morales Moreno,08/33,062
5215 6006 2513 6206,Blas Avila Gonzalez,02/26,504
7147 0972 8358 9579,Pedro Garau Moss,08/33,512
2353 8718 8368 3544,Gabriel Marques Gonzalez,02/32,205
3274 0952 6446 6496,Eva Torres Mojamuto,06/33,043
2143 4665 2653 2583,Jack Reyes Torres,07/27,243
0051 4024 7237 1642,Luis Locke Dominguez,06/33,925
4775 1512 0241 8228,Pedro Locke Linus,09/26,575
7377 2363 4855 3103,Benjamin Linus Lobo,08/31,783
6947 6506 7507 1973,Jack Moss Moss,04/31,540
2493 8017 5706 1652,Enjuto Avila Moreno,12/28,074
7777 5445 5796 8528,Alberto Ribas Vallejo,11/28,124
2573 9108 0191 6566,Kate Gibson Lobo,12/30,836
8678 0712 4835 6516,Eva Martinez Sparrow,01/27,062
9008 6907 7957 3194,Alberto Moreno Punset,07/28,780
2873 1332 6196 8988,Enjuto Locke Martinez,01/30,171
7427 0992 8047 7327,Francisco Gibson Avila,10/31,037
6937 9659 7137 6766,Kate Punset Dans,11/33,130
5956 9589 5495 4405,Irene Gonzalez Torres,02/33,236
9358 7837 7577 9849,Hugo Pelaez Mas,02/29,214
8047 2993 4655 5145,Alberto Marques Punset,03/30,861
4625 6596 8788 6366,Benjamin Garau Narvaez,05/27,451
2043 4595 3063 2223,Clodoveo Lopez San,07/27,541
2423 4455 5976 0692,Jose Locke San,01/28,861
7787 7057 1552 9559,Luis Vallejo Pomares,01/27,659
9449 9759 2113 6046,Enjuto Garau Avila,03/30,691
3984 3164 0822 1933,Restituta Locke Linus,04/32,878
0541 8398 9308 0772,Sofia Dans Ribas,10/26,709
1812 7347 6866 4224,Hugo Narvaez Ribas,03/28,499
7917 9439 1422 4785,Petra Pomares Sparrow,12/28,154
0601 4725 7007 2263,Luis Torres Coll,08/28,470
3474 7487 2893 1602,Emiliano Garau Cozar,05/32,544
6326 7377 1142 9409,Luis Padro Moss,05/28,397
8328 7507 6066 9008,Alfredo Dominguez Moss,05/30,437
8748 0802 4435 5115,Hugo Argudo Pelaez,01/30,066
1362 0521 1802 3824,Petra Narvaez Reyes,12/34,585
3244 8027 2213 3224,Camilo Cozar Ribas,08/30,857
7517 7097 7997 1812,Gabriel Gonzalez Lopez,06/27,244
3614 8928 8218 4445,Benjamin Poza Cozar,09/29,893
0652 6486 3554 2173,Francisco Narvaez Sparrow,07/30,429
1002 3093 8668 6296,Luis Dominguez Mas,07/33,781
8998 1812 6887 3764,Alfredo Coll Ribas,06/27,878
2443 8148 2013 6106,Sofia Martinez Punset,06/34,126
2053 5325 0131 1372,Irene Martinez Dans,08/31,745
9789 9098 8418 2393,Kate Sparrow Lopez,11/32,571
4595 1272 8458 3384,Clodoveo Lopez Moss,02/27,898
4485 9018 0682 9829,Benjamin Cozar Dominguez,10/31,210
4284 1622 4915 1042,Luis Poza Torres,07/32,359
3794 3504 7747 1552,Jack Cozar Gracia,09/28,054
4084 8848 4665 2963,Pedro Cozar Mas,09/32,676
1522 7857 8868 4505,Alberto Moreno Gibson,09/34,862
0161 0341 4865 8438,Emiliano Punset Moreno,08/28,957
1893 1082 6716 2783,Alfredo Punset Dans,02/26,312
7067 2173 6346 4284,Irene Martinez Avila,07/34,816
4745 7947 7807 6826,Hugo Dominguez Cozar,06/29,987
7047 7567 1722 7447,Kate Morales Moreno,05/28,771
6977 7757 7837 5265,Emiliano Dominguez Lobo,02/32,235
9539 6616 5996 6846,Jack Moreno Gracia,06/34,778
7827 2813 4685 1102,Luisa Dans Moreno,10/31,177
9529 4224 4064 2543,Armando San Pomares,02/32,535
2753 2453 9769 9609,Benjamin Narvaez Poza,08/34,602
6306 1732 4985 8047,Irene Moss Gracia,12/33,648
9048 3123 9699 6596,Emiliano Moreno Poza,02/32,171
4515 8248 3384 6416,Margarita Morales Linus,10/27,968
5605 6436 3174 1672,Irene Torres Gibson,07/33,566
2823 3113 8178 0441,Sofia Torres Cozar,04/32,136
3524 4485 5806 3684,Luis Poza Lobo,12/33,593
4234 7407 8838 5495,Gabriel Punset Moreno,11/31,945
2253 0211 6426 7967,Jack Pelaez San,02/29,421
1832 7217 7317 8348,Margarita Mojamuto Padro,04/33,654
0351 8648 4845 9058,Clodoveo Mojamuto Poza,08/27,700
3404 4765 5135 0341,Camilo Ribera Lopez,05/32,352
0511 0822 3444 0832,John Moreno Pelaez,04/32,459
1612 8107 3013 3794,Emiliano Moreno Ribera,05/28,413
4905 2933 0051 6816,John Linus Lopez,06/32,884
9108 5255 6706 0642,Alberto Morales Linus,11/33,266
0662 8268 5155 1522,Camilo Lopez Martinez,05/32,860
3784 9469 4975 7797,Randall Mojamuto Pomares,06/28,545
8808 5836 0902 1112,Emiliano Dominguez Poza,07/28,182
9989 9399 2883 5615,Jose Morales Pomares,08/26,223
3994 2513 9539 5866,Petra Linus Coll,12/27,063
3344 4405 3984 1532,Eva Moss Dominguez,10/26,056
6116 2673 1402 4274,Blas Morales Coll,06/27,160
5015 3073 3224 0181,Jose Narvaez Cozar,11/27,787
3624 9138 4254 4515,Hugo Gibson Garau,11/27,302
9739 7007 5485 0481,Clodoveo Gracia Mas,11/33,451
9479 9178 3674 9368,Jack Ribas Vallejo,05/27,664
2853 8338 5205 8998,Restituta Vallejo Reyes,08/28,979
6877 1442 1752 4254,Enjuto Poza Moss,07/29,221
7097 1482 6897 1022,Jose Gracia Gracia,12/32,789
0121 0531 5055 5696,John San Martinez,02/31,295
4304 5696 2783 2563,Sofia Gibson Linus,06/29,558
9038 8818 9068 1062,Gabriel Vallejo Narvaez,06/27,681
0061 0251 8588 1852,Clodoveo Moreno Locke,02/32,029
0812 8158 7387 1712,Sofia Ribera Gracia,09/33,920
3864 6536 6796 6486,Luis Martinez Dominguez,06/30,898
2563 1983 4795 4985,Margarita Torres Padro,08/32,641
6206 6736 6286 5515,Alberto Martinez Marques,06/26,367
8067 1242 1382 8168,Restituta Marques Ribera,08/28,927
9338 4885 9389 1402,Randall Morales Avila,10/29,463
9118 4475 0351 2723,Armando Padro Coll,04/26,381
5916 4214 8148 0551,Gabriel Pelaez Coll,03/30,268
7087 9268 8318 8558,Camilo Locke Pelaez,06/34,363
2243 9989 4114 4895,Francisco Coll Gonzalez,10/31,387
8087 9068 1672 7627,Jose Pomares Moreno,12/31,275
3053 4935 8628 1822,Clodoveo Lobo Padro,04/32,361
7257 0431 1712 6937,Randall Dominguez Sparrow,06/30,629
8668 1492 2583 2033,Sofia Ribera Ribas,11/30,967
7057 7237 9639 9529,Sofia Torres Dans,03/31,116
4655 5345 8488 3944,Alberto Punset Morales,04/28,447
9699 9479 6096 1252,Alfredo Dans Pelaez,11/26,165
0962 3924 7927 5636,Blas Vallejo Cozar,05/26,084
7137 6866 8798 4154,Armando Vallejo Marques,10/28,044
8418 4965 7347 8188,Gabriel Pomares Marques,08/31,027
8798 0912 0031 5175,Kate Marques Sparrow,07/33,403
7307 7157 4204 8218,Randall Narvaez Mas,05/28,978
8368 2283 8288 4695,Eva Pelaez Moss,01/29,487
2063 5105 7467 3013,Alfredo Coll Martinez,12/27,540
6596 8448 6306 1012,Pedro Vallejo Mojamuto,03/27,840
5405 0501 0732 0571,Restituta Dans San,04/31,509
7017 1782 6696 0091,Kate Punset Vallejo,11/27,449
8908 3103 7857 5365,Luis Padro Moreno,03/26,862
6536 5946 3274 1682,Luis Gibson Poza,06/32,565
5666 0011 4945 5345,Jose Mojamuto Avila,08/27,733
9459 2523 0301 2843,John Linus Vallejo,10/33,067
0792 4174 2273 7407,Gabriel Pelaez Avila,03/27,756
5806 0301 4134 0141,Jose Torres Lobo,12/28,068
7127 8998 5615 5666,Randall Gibson Ribas,10/27,135
9148 7807 8898 2653,Jose Coll Gracia,07/34,981
2503 5175 7547 9188,Randall Avila Lobo,05/27,050
0111 3984 2283 5085,Emiliano Lobo Martinez,10/34,451
4445 5976 6656 7427,Sofia Gracia Locke,02/32,879
9589 8057 1242 1953,Armando Avila Martinez,07/34,146
3654 6046 0101 8238,Luis Gibson Ribas,09/30,768
5065 0752 8528 1752,Clodoveo Cozar Linus,06/28,566
0071 2853 6336 6466,Alfredo Lobo San,05/28,818
7467 1592 8908 1732,Eva Gibson Dans,03/27,304
8057 6726 4294 4324,Camilo Ribas Pelaez,01/31,119
7857 9058 4625 8338,Armando Punset Sparrow,04/26,306
0291 2533 4745 0281,Irene San Poza,01/26,665
0081 3564 4955 2883,Eva Argudo Ribas,01/31,195
9409 9449 9849 0722,Eva Narvaez Avila,12/27,652
3314 9879 5385 2673,Alfredo Pelaez Gracia,10/27,265
5165 7017 1442 3454,Eva San Avila,03/34,530
8588 3804 0201 2973,Hugo Lopez Lobo,12/26,762
2773 1092 8208 8408,Luisa Marques Mas,10/34,360
7557 5936 9038 9879,Jose Pomares Cozar,03/29,666
1012 9729 3794 4304,Sofia San Poza,04/33,307
6826 6927 6856 5005,Armando Martinez Avila,10/29,828
1172 4354 7947 8268,Enjuto Narvaez Locke,11/32,597
3724 8328 5455 8818,Sofia Mojamuto Coll,06/28,343
2103 1832 2263 6406,Benjamin Poza Pomares,11/31,300
5876 9779 7777 0531,Luisa Lopez Mojamuto,07/29,551
7277 9379 4214 4385,Gabriel Punset Moss,12/31,910
7207 3694 8498 4715,Pedro Marques Narvaez,09/34,055
3634 1302 9208 0101,Margarita Vallejo Morales,08/27,665
8858 5165 9579 7847,Alfredo Reyes Linus,10/33,271
5626 8428 1232 0972,Pedro Gracia Sparrow,01/32,046
0692 9719 5295 2553,Francisco Locke Morales,11/27,199
8348 5636 5906 7747,Kate Vallejo Ribera,02/26,799
5826 1342 0121 7867,Benjamin Vallejo Torres,11/34,753
7987 5575 1883 4395,Margarita Moreno Gracia,10/28,128
2973 7887 8097 1903,Eva Argudo San,03/28,881
6987 9839 1923 5555,Enjuto Mojamuto Poza,12/30,876
7387 3554 8138 5315,Armando Dominguez Dans,12/31,155
2613 5656 3954 4535,Alfredo Gonzalez Martinez,10/30,980
3174 4064 1092 8688,Gabriel Dominguez Narvaez,03/33,189
1993 1973 9809 6126,Gonzalo Reyes Pelaez,02/34,567
4585 6586 1292 8658,John Coll Morales,11/30,970
9389 8788 8918 8198,Jose Gonzalez Gibson,01/27,821
9138 5205 1032 5165,Francisco Padro Gibson,02/29,713
0131 4745 5255 8948,Margarita Gracia Gonzalez,11/29,991
9879 5626 2923 5245,Sofia Argudo Garau,11/32,338
9158 3214 4615 4675,Kate Marques Reyes,01/32,644
8868 1762 4014 0672,Kate Mojamuto Locke,11/31,693
4995 1682 1162 9509,Armando Avila Gracia,02/27,342
5706 0021 8087 9178,Gonzalo Mojamuto Garau,09/34,166
2363 9629 6166 1262,Emiliano Gibson Dans,07/31,690
5505 2383 4314 9138,Eva Moreno Reyes,05/31,577
2223 1042 5535 7217,Margarita Vallejo Gibson,06/28,842
4104 3614 8848 7467,Eva Poza Poza,09/26,520
0581 1662 4675 3564,Pedro Locke Lopez,02/34,155
6546 2963 7427 9629,Francisco Torres Ribera,08/27,448
3904 7187 2223 2133,Hugo Linus Garau,07/31,257
1222 3364 0521 8718,Alfredo Padro Coll,09/32,262
4425 5966 1452 3494,Randall Mas Lopez,11/30,650
9709 2583 3304 5766,Enjuto Gonzalez Pelaez,09/27,957
0231 5355 5585 5756,Eva Torres Pelaez,07/28,845
2203 3414 8328 6546,Francisco Narvaez Moss,09/33,387
9068 2693 0171 1482,Petra Dans Coll,12/26,944
1692 4565 4334 4755,Blas Locke Argudo,03/28,352
6796 5135 6086 0331,Alfredo Mojamuto Dominguez,03/33,105
3734 3134 1963 6646,Luisa Mojamuto Morales,11/32,671
3494 0271 5105 5525,Randall Pelaez Punset,10/28,596
9318 3324 9679 4685,Alfredo Argudo Lobo,03/32,681
1732 2113 9609 0882,Benjamin Martinez Mojamuto,02/31,398
6066 5315 1812 7337,Alfredo Poza Locke,12/32,980
5025 4795 4515 8117,John Mojamuto Gracia,11/26,797
4805 8097 7017 9789,Kate Gibson Punset,10/27,277
8458 4825 1732 9999,Gabriel Poza Ribas,01/32,403
8568 0291 5866 7087,Eva Poza Dans,08/28,087
6776 5986 0581 3574,Gonzalo Gonzalez Mas,07/26,874
3464 9549 2573 0471,Enjuto Coll Sparrow,09/27,474
7477 9559 9168 8918,Eva Cozar Sparrow,05/33,423
1122 0491 6406 5045,Kate Avila Martinez,05/27,648
4555 0762 8017 8478,Luis Mojamuto Cozar,07/30,881
8598 8468 2153 7037,Jose Pomares Pelaez,05/27,462
9328 9489 9058 8978,John Dans Locke,12/28,368
1852 8798 8598 5445,Hugo Martinez Sparrow,06/27,500
6256 4324 5786 3604,Margarita Ribera Pelaez,09/29,326
6126 8548 9689 2273,Hugo Locke Vallejo,07/28,632
4244 1462 3294 3123,Enjuto Punset Lopez,06/26,788
3944 1672 6907 4945,Clodoveo Dominguez Vallejo,08/30,445
5936 2793 4695 4144,Armando Argudo Gracia,04/28,582
2713 5646 0932 2913,Blas Cozar San,11/33,675
4004 5305 0181 0001,Eva Reyes Avila,02/33,491
1242 0601 7357 9909,Francisco Ribas Avila,12/27,080
2013 9168 8398 8328,Camilo Argudo Garau,05/34,952
6696 4284 2943 7957,Luisa Avila Dans,08/31,812
3184 6987 1953 1963,Jose Mas Mojamuto,02/27,759
5275 6216 9529 1432,Armando Pelaez Locke,09/29,969
6756 1132 2453 1943,Irene Torres Pelaez,05/30,217
1432 6386 9088 2253,Margarita Dominguez Pelaez,04/34,203
4605 4254 9939 4595,Camilo Linus Garau,01/28,817
1482 5185 4184 1772,Armando Linus Pomares,11/33,079
7567 5065 7727 6256,John Torres Ribera,07/30,971
9278 0371 3844 7307,Restituta Punset Punset,07/31,221
4194 3884 8037 5095,Irene Morales Sparrow,01/32,732
7657 2203 6766 5325,Alfredo Coll San,05/34,858
0201 2093 2043 7877,John Argudo Ribas,10/29,871
8388 7147 4154 2493,Restituta Mas Reyes,02/33,548
5175 6206 9919 1562,Luisa Poza Lopez,09/33,425
2543 7047 7827 7727,Jose Gibson Locke,03/33,225
2383 6016 4545 8698,Hugo Narvaez Mojamuto,06/34,774
0932 9248 8128 8968,John Mas Morales,05/29,214
6576 6816 9419 6977,Alberto Avila Morales,12/34,354
4164 2323 2613 7377,Margarita Torres Sparrow,04/33,610
2963 4465 8248 7667,Luis Lobo Punset,09/32,726
9619 5545 4054 3614,Randall Sparrow Locke,04/32,681
3003 8808 5626 2443,Jack Torres Mas,02/30,485
4294 7687 0001 2523,Alfredo Cozar Pelaez,05/33,851
0742 0031 0952 7707,Randall Martinez Reyes,09/34,931
0091 3274 3394 3364,Petra Gonzalez Pelaez,05/29,261
0331 6957 6366 9739,Pedro Linus Lobo,12/27,295
0011 7977 2643 4885,Luis Ribas Morales,01/32,473
8138 8288 4405 0421,Kate Moss Coll,11/29,008
0752 2893 0571 3023,Eva Ribera Dominguez,07/28,451
9719 0611 6466 5676,Randall Pelaez Lopez,08/32,141
6897 5595 8518 9128,Clodoveo Garau Cozar,07/32,849
5145 8318 8298 4935,Armando Cozar Argudo,08/27,158
6907 1692 5035 5886,Armando Marques Dominguez,10/29,407
7647 8178 6486 3864,Sofia Moss Poza,06/32,815
7397 4555 7757 3474,Jack Torres Garau,05/30,855
4254 7937 2963 5746,Blas Vallejo Torres,09/30,947
2033 3234 8618 1412,Alfredo Lobo Mojamuto,03/27,664
3934 0471 3724 9048,Emiliano Garau Pomares,11/31,095
5636 4905 4274 6967,Luis Argudo Lobo,08/34,425
4374 9298 2543 5716,Margarita Lobo Garau,10/26,898
8618 3654 4455 7737,Restituta Garau Ribas,10/34,171
6736 1472 2073 0992,Alberto Narvaez Pomares,11/30,577
8648 2373 2593 0501,Clodoveo Vallejo Coll,07/27,527
9198 4385 0441 0061,Armando Locke Torres,07/30,717
4314 1943 3924 1182,Blas Ribas Pelaez,04/27,896
3013 7707 6026 6446,Blas San Narvaez,08/33,295
9258 3584 5766 5656,John Punset Mas,08/30,918
5846 6186 8428 1462,Margarita Torres Cozar,10/30,270
7847 1182 7917 7997,Enjuto Vallejo Vallejo,03/30,325
5926 8498 0381 2663,Kate Ribera Gonzalez,06/30,109
2263 5055 8258 9068,Petra Dominguez Reyes,04/28,542
8538 7397 0662 5986,Luis Gonzalez Torres,08/30,276
8288 9278 5095 3894,Luisa Sparrow Moss,10/34,031
7117 9969 1973 2703,Alberto Poza San,10/30,086
5375 2763 3494 5275,Emiliano Gibson Mas,05/26,052
2093 0481 7527 8027,Sofia Argudo Lopez,02/34,348
4465 2553 2023 8248,Luisa Avila Padro,12/27,599
0561 0621 7697 5545,Pedro Martinez Locke,08/32,021
8638 4014 5375 4264,Pedro Avila Lobo,06/31,191
3694 2563 4935 9338,Hugo Marques Moreno,06/27,588
7527 3334 7497 2993,Blas Argudo Ribas,01/30,355
6486 5876 5656 7197,Francisco Marques Lopez,08/34,784
1622 0872 7637 2503,Eva Argudo Dans,02/30,787
1903 2833 0431 1913,Jose Reyes Cozar,10/28,085
3504 5846 2713 3033,Sofia Torres Padro,07/30,633
0311 2213 1993 4024,Emiliano Lopez Pomares,09/29,008
5746 3204 8658 7167,Eva Lopez Locke,04/29,677
4955 1252 0061 7227,Benjamin Coll Dans,12/32,986
2233 1072 4825 7177,Luis Gibson Lobo,05/27,487
1983 9949 7877 2893,Blas Lopez Ribas,03/27,559
9018 3974 4104 3164,Clodoveo Gracia Ribas,03/32,826
2913 6376 2333 5035,Blas Lobo Reyes,05/32,933
9689 8208 1832 8378,Margarita Linus Marques,12/27,579
7437 1772 7847 6286,Alberto Coll Lopez,03/26,201
0732 8488 2623 7717,Francisco Pelaez Gracia,05/31,881
7167 3003 9158 0201,Pedro Avila Padro,04/29,887
4044 3664 6576 4124,Petra Dans Lopez,11/33,352
0872 9959 9028 3534,Randall Morales Coll,03/30,474
1302 3314 3033 7277,Camilo Narvaez Moreno,05/34,590
9729 3574 7617 2303,Benjamin Cozar Dominguez,07/27,502
4885 5615 5936 4645,Armando Marques Reyes,05/29,616
9178 5415 1322 5585,Alfredo Garau Martinez,04/32,169
1502 7307 6666 9569,Irene Argudo Morales,10/26,280
3164 7277 3023 9449,Jose Torres Lobo,06/34,344
6666 8878 0291 9168,Eva Marques Narvaez,08/29,444
7217 1542 6606 7187,Blas Ribas Gonzalez,04/33,959
1352 8668 9629 2243,Jose Ribera Gonzalez,10/34,403
5686 0161 7537 3093,Pedro Morales Dominguez,10/32,672
0171 3284 3344 9729,Luisa Pelaez Mas,02/32,825
1052 5395 0561 4815,Randall Pelaez Lopez,12/28,221
1772 1822 5515 3984,Restituta Pomares Pomares,07/31,270
4144 1532 4415 6476,Restituta Lobo Lopez,03/33,630
8488 6856 2913 4194,Francisco Dans Pelaez,11/33,298
1512 8908 6476 7137,Jack Lopez Lopez,10/26,815
7937 8308 5085 2953,Pedro Mas Padro,11/29,703
5205 0581 1192 9379,Margarita Padro Lopez,07/34,514
7677 6026 1943 6316,Pedro Vallejo Dans,06/33,790
9999 9619 2033 8928,Restituta Poza Dans,11/30,316
6166 8758 8768 7787,Alberto Punset Locke,12/32,267
0221 4875 2473 5626,Enjuto Moreno Torres,07/32,158
3754 6656 6877 6927,Gabriel San Ribas,08/29,728
1943 3944 7587 7657,Petra Marques Vallejo,01/33,296
8958 5085 8538 3664,Benjamin Avila Ribas,08/34,417
9819 5916 6516 4354,Enjuto Cozar Poza,04/28,394
1062 8778 7397 0902,Irene Gracia Vallejo,12/29,348
0972 7847 3164 6666,Benjamin Ribera Lobo,09/32,778
8758 8638 1822 3434,Jack Pomares Narvaez,03/34,318
3434 5475 7817 3954,Enjuto Pomares Dominguez,06/27,623
3224 8258 1222 9919,Restituta Lopez Lobo,12/32,425
4855 2413 6846 3674,Benjamin Cozar San,01/30,941
0521 0201 0942 8958,Enjuto Moss Gibson,04/29,194
3664 2623 1182 7047,Gabriel Linus Mas,11/30,694
9288 5115 8378 4835,Eva Gonzalez Punset,08/34,844
8438 3934 3504 1702,John Padro Coll,12/26,492
3214 4244 2663 5816,Sofia Lopez Ribas,01/30,956
2293 1582 3364 0111,Restituta Torres Pomares,09/32,472
9899 3244 5275 3734,Francisco Moreno Gracia,02/34,582
4765 4194 7187 3704,Luisa Reyes Padro,03/28,795
1552 5245 9469 7507,Randall Narvaez Pomares,01/29,540
2623 3794 1542 2873,Hugo Pelaez Martinez,08/29,229
1883 6116 2383 9969,Blas Punset Moss,11/32,641
4264 7697 5475 4094,Camilo Vallejo Avila,11/32,806
2743 2613 6186 4455,Emiliano Sparrow Dominguez,12/33,885
0952 0842 9048 8067,Jose Narvaez Coll,03/32,582
8728 3744 0832 9839,Francisco Padro Cozar,04/33,467
5285 6997 4585 1762,Gabriel Linus Marques,09/32,349
0461 0111 1742 3744,Hugo Gracia Ribera,07/32,725
4965 0311 2303 0051,Petra Padro Punset,09/31,531
0371 3304 5776 4364,Francisco Padro Reyes,05/34,981
5415 9258 5846 5065,Petra Sparrow Lopez,01/27,192
2113 3834 8608 9479,Irene Dominguez Mas,07/32,899
2533 5265 2343 1202,Restituta Cozar Moreno,09/34,804
2683 0882 2673 1312,Margarita Martinez Argudo,08/34,521
6386 1883 0231 2363,Alberto Coll Dominguez,05/34,225
5395 1993 2793 4435,Jack Lopez Martinez,10/33,071
4675 9579 7367 0812,Eva Avila Torres,11/30,000
0632 7287 5215 9669,Randall Gracia Reyes,03/27,188
8698 4845 8738 5255,Randall Mas Mas,04/29,001
8268 4975 3824 0121,Kate Mas Mojamuto,03/33,772
6226 2873 8468 4775,Armando Avila Ribas,06/27,094
1642 0571 0481 8368,Camilo Dominguez Marques,06/29,934
3324 7597 8688 1222,Luis Poza Linus,03/26,819
8918 9008 7217 9929,Emiliano Locke Vallejo,08/27,527
2273 1632 1702 2413,Camilo Padro Pomares,01/31,078
3304 6947 8858 7387,Hugo Lobo Morales,05/28,202
6586 1112 4074 6696,Benjamin Moreno Pomares,03/32,302
9489 0091 5165 2853,Jack Dominguez Mas,03/27,312
9889 7327 1522 4975,Randall Cozar Ribera,10/32,113
5996 1502 7657 5385,Gabriel Punset Martinez,10/32,396
5265 8047 1062 6156,Randall Avila Pomares,10/32,502
7267 0832 4124 4014,Emiliano Reyes Morales,12/28,711
3364 8298 8758 0431,Armando Gibson Padro,06/33,797
1702 7667 6386 7027,Armando Lopez Locke,03/31,708
7837 5235 4715 1502,Francisco Torres Poza,06/29,888
